company,quarter,year,document_type,file_path,text_length,processing_timestamp
BRITANNIA,Q1,2024,transcript,data\raw\transcripts\BRITANNIA q1 2024.pdf,45109,2026-01-28 18:37:34
BRITANNIA,Q1,2025,transcript,data\raw\transcripts\BRITANNIA q1 2025.pdf,49804,2026-01-28 18:37:37
BRITANNIA,Q2,2024,transcript,data\raw\transcripts\BRITANNIA q2 2024.pdf,46322,2026-01-28 18:37:40
BRITANNIA,Q2,2025,transcript,data\raw\transcripts\BRITANNIA q2 2025.pdf,45706,2026-01-28 18:37:43
BRITANNIA,Q3,2024,transcript,data\raw\transcripts\BRITANNIA q3 2024.pdf,49047,2026-01-28 18:37:46
BRITANNIA,Q3,2025,transcript,data\raw\transcripts\BRITANNIA q3 2025.pdf,45521,2026-01-28 18:37:49
BRITANNIA,Q4,2024,transcript,data\raw\transcripts\BRITANNIA q4 2024.pdf,45461,2026-01-28 18:37:52
BRITANNIA,Q4,2025,transcript,data\raw\transcripts\BRITANNIA q4 2025.pdf,47802,2026-01-28 18:37:55
DABUR,Q1,2024,transcript,data\raw\transcripts\DABUR q1 2024.pdf,61085,2026-01-28 18:37:59
DABUR,Q1,2025,transcript,data\raw\transcripts\DABUR q1 2025.pdf,58416,2026-01-28 18:38:03
DABUR,Q2,2024,transcript,data\raw\transcripts\DABUR q2 2024.pdf,37834,2026-01-28 18:38:05
DABUR,Q2,2025,transcript,data\raw\transcripts\DABUR q2 2025.pdf,68411,2026-01-28 18:38:09
DABUR,Q3,2024,transcript,data\raw\transcripts\DABUR q3 2024.pdf,51644,2026-01-28 18:38:13
DABUR,Q3,2025,transcript,data\raw\transcripts\DABUR q3 2025.pdf,62347,2026-01-28 18:38:16
DABUR,Q4,2024,transcript,data\raw\transcripts\DABUR q4 2024.pdf,74312,2026-01-28 18:38:21
DABUR,Q4,2025,transcript,data\raw\transcripts\DABUR q4 2025.pdf,46453,2026-01-28 18:38:23
